codigo,descripcion,nivel
7421,Actividades de arquitectura e ingeniería y actividades conexas de asesoramiento técnico.,4
7422,Ensayos y análisis técnicos.,4
743,Publicidad.,3
7430,Publicidad.,4
749,Actividades empresariales n.c.p.,3
7491,Obtención y dotación de personal.,4
7492,Actividades de investigación y seguridad.,4
7493,Actividades de limpieza de edificios.,4
7494,Actividades de fotografía.,4
7495,Actividades de envase y empaque.,4
7499,Otras actividades empresariales n.c.p.,4
L,Administración publica y defensa; planes de seguridad social de afiliación obligatoria.,1
75,Administración pública y defensa; planes de seguridad social de afiliación obligatoria.,2
751,Administración del Estado y aplicación de la política económica y social de la comunidad.,3
7511,Actividades de la administración pública en general.,4
7512,"Regulación de las actividades de organismos que prestan servicios sanitarios, educativos, culturales y otros servicios sociales, excepto servicios de seguridad social.",4
7513,Regulación y facilitación de la actividad económica.,4
7514,Actividades de servicios auxiliares para la administración pública en general.,4
752,Prestación de servicios a la comunidad en general.,3
7521,Relaciones exteriores.,4
7522,Actividades de defensa.,4
7523,Actividades de mantenimiento del orden público y de seguridad.,4
753,Actividades de planes de seguridad social de afiliación obligatoria.,3
7530,Actividades de planes de seguridad social de afiliación obligatoria.,4
M,Enseñanza.,1
80,Enseñanza.,2
801,Enseñanza primaria.,3
8010,Enseñanza primaria.,4
802,Enseñanza secundaria.,3
8021,Enseñanza secundaria de formación general.,4
8022,Enseñanza secundaria de formación técnica y profesional.,4
803,Enseñanza superior.,3
8030,Enseñanza superior.,4
809,Enseñanza de adultos y otros tipos de enseñanza.,3
8090,Enseñanza de adultos y otros tipos de enseñanza.,4
N,Servicios sociales y de salud.,1
85,Servicios sociales y de salud.,2
851,Actividades relacionadas con la salud humana.,3
8511,Actividades de hospitales.,4
8512,Actividades de médicos y odontólogos.,4
8519,Otras actividades relacionadas con la salud humana.,4
852,Actividades veterinarias.,3
8520,Actividades veterinarias.,4
853,Actividades de servicios sociales.,3
8531,Servicios sociales con alojamiento.,4
8532,Servicios sociales sin alojamiento.,4
O,"Otras actividades de servicios comunitarios, sociales y personales.",1
90,"Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares.",2
900,"Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares.",3
9000,"Eliminación de desperdicios y aguas residuales, saneamiento y actividades similares.",4
91,Actividades de asociaciones n.c.p.,2
911,"Actividades de organizaciones empresariales, profesionales y de empleadores.",3
9111,Actividades de organizaciones empresariales y de empleadores.,4
9112,Actividades de organizaciones profesionales.,4
912,Actividades de sindicatos.,3
9120,Actividades de sindicatos.,4
919,Actividades de otras asociaciones.,3
9191,Actividades de organizaciones religiosas.,4
9192,Actividades de organizaciones políticas.,4
9199,Actividades de otras asociaciones n.c.p.,4
92,Actividades de esparcimiento y actividades culturales y deportivas.,2
921,"Actividades de cinematografía, radio y televisión y otras actividades de entretenimiento.",3
9211,Producción y distribución de filmes y videocintas.,4
9212,Exhibición de filmes y videocintas.,4
9213,Actividades de radio y televisión.,4
